"","AGE","CALC_METHODOLOGY","CANCER_SITE","DEATH_CAUSE","DISEASE","FREQ","GESTATION_THRESHOLD","HEALTH_STATUS","MEASURE","OBS_STATUS","OBS_STATUS2","ObsValue","REF_AREA","SEX","SOCIO_ECON_STATUS","TIME_PERIOD","UNIT_MEASURE"
"1","Y_GE15","CRUDE","_Z","_Z","_Z","A","_Z","B","PHS",NA,NA,"11.6","BGR","M","_Z","2008","PT_POP_AGE"
"2","Y45T64","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"53","BGR","_T","_Z","2008","PT_POP_AGE"
"3","Y_GE15","CRUDE","_Z","_Z","_Z","A","_Z","F","PHS",NA,NA,"23.9","BGR","_T","_Z","2008","PT_POP_AGE"
"4","Y_GE65","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"14.9","BGR","_T","_Z","2008","PT_POP_AGE"
"5","Y_GE65","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"11.4","BGR","F","_Z","2008","PT_POP_AGE"
"6","Y_GE15","CRUDE","_Z","_Z","_Z","A","_Z","F","PHS",NA,NA,"26.9","BGR","F","_Z","2008","PT_POP_AGE"
"7","Y25T44","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"84.2","BGR","_T","_Z","2008","PT_POP_AGE"
"8","Y15T24","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"96.7","BGR","M","_Z","2008","PT_POP_AGE"
"9","Y_GE15","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"67.6","BGR","M","_Z","2008","PT_POP_AGE"
"10","Y_GE65","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"20","BGR","M","_Z","2008","PT_POP_AGE"
"11","Y_GE15","CRUDE","_Z","_Z","_Z","A","_Z","B","PHS",NA,NA,"13.9","BGR","_T","_Z","2008","PT_POP_AGE"
"12","Y45T64","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"49.2","BGR","F","_Z","2008","PT_POP_AGE"
"13","Y25T44","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"86.8","BGR","M","_Z","2008","PT_POP_AGE"
"14","Y15T24","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"94.4","BGR","F","_Z","2008","PT_POP_AGE"
"15","Y_GE15","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"62.2","BGR","_T","_Z","2008","PT_POP_AGE"
"16","Y15T24","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"95.6","BGR","_T","_Z","2008","PT_POP_AGE"
"17","Y_GE15","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"57.2","BGR","F","_Z","2008","PT_POP_AGE"
"18","Y45T64","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"57","BGR","M","_Z","2008","PT_POP_AGE"
"19","Y_GE15","CRUDE","_Z","_Z","_Z","A","_Z","B","PHS",NA,NA,"15.9","BGR","F","_Z","2008","PT_POP_AGE"
"20","Y_GE15","CRUDE","_Z","_Z","_Z","A","_Z","F","PHS",NA,NA,"20.8","BGR","M","_Z","2008","PT_POP_AGE"
"21","Y25T44","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"81.6","BGR","F","_Z","2008","PT_POP_AGE"
"22","Y45T64","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"73","GBR","_T","_Z","2006","PT_POP_AGE"
"23","Y_GE65","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"59.1","GBR","M","_Z","2006","PT_POP_AGE"
"24","Y15T24","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"88.6","GBR","F","_Z","2006","PT_POP_AGE"
"25","Y45T64","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"73.2","GBR","M","_Z","2006","PT_POP_AGE"
"26","Y25T44","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"86.1","GBR","_T","_Z","2006","PT_POP_AGE"
"27","Y15T24","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"89.9","GBR","_T","_Z","2006","PT_POP_AGE"
"28","Y25T44","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"84.4","GBR","F","_Z","2006","PT_POP_AGE"
"29","Y25T44","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"87.9","GBR","M","_Z","2006","PT_POP_AGE"
"30","Y15T24","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"91.3","GBR","M","_Z","2006","PT_POP_AGE"
"31","Y_GE65","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"57.9","GBR","_T","_Z","2006","PT_POP_AGE"
"32","Y45T64","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"72.7","GBR","F","_Z","2006","PT_POP_AGE"
"33","Y_GE65","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"57","GBR","F","_Z","2006","PT_POP_AGE"
"34","Y_GE65","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"58.6","GBR","F","_Z","2007","PT_POP_AGE"
"35","Y45T64","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"73.4","GBR","F","_Z","2007","PT_POP_AGE"
"36","Y_GE65","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"59.5","GBR","_T","_Z","2007","PT_POP_AGE"
"37","Y15T24","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"94.7","GBR","M","_Z","2007","PT_POP_AGE"
"38","Y25T44","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"87.7","GBR","M","_Z","2007","PT_POP_AGE"
"39","Y25T44","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"85.5","GBR","F","_Z","2007","PT_POP_AGE"
"40","Y15T24","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"91.7","GBR","_T","_Z","2007","PT_POP_AGE"
"41","Y25T44","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"86.5","GBR","_T","_Z","2007","PT_POP_AGE"
"42","Y45T64","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"73.7","GBR","M","_Z","2007","PT_POP_AGE"
"43","Y15T24","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"88.7","GBR","F","_Z","2007","PT_POP_AGE"
"44","Y_GE65","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"60.5","GBR","M","_Z","2007","PT_POP_AGE"
"45","Y45T64","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"73.5","GBR","_T","_Z","2007","PT_POP_AGE"
"46","Y45T64","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"77.1","GBR","_T","_Z","2008","PT_POP_AGE"
"47","Y_GE65","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"60.1","GBR","M","_Z","2008","PT_POP_AGE"
"48","Y15T24","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"92.7","GBR","F","_Z","2008","PT_POP_AGE"
"49","Y45T64","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"76.7","GBR","M","_Z","2008","PT_POP_AGE"
"50","Y25T44","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"89","GBR","_T","_Z","2008","PT_POP_AGE"
"51","Y15T24","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"93.9","GBR","_T","_Z","2008","PT_POP_AGE"
"52","Y25T44","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"88.3","GBR","F","_Z","2008","PT_POP_AGE"
"53","Y25T44","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"89.7","GBR","M","_Z","2008","PT_POP_AGE"
"54","Y15T24","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"95.2","GBR","M","_Z","2008","PT_POP_AGE"
"55","Y_GE65","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"59.1","GBR","_T","_Z","2008","PT_POP_AGE"
"56","Y45T64","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"77.4","GBR","F","_Z","2008","PT_POP_AGE"
"57","Y_GE65","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"58.3","GBR","F","_Z","2008","PT_POP_AGE"
"58","Y_GE65","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"59.1","GBR","F","_Z","2009","PT_POP_AGE"
"59","Y45T64","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"76.4","GBR","F","_Z","2009","PT_POP_AGE"
"60","Y_GE65","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"59.6","GBR","_T","_Z","2009","PT_POP_AGE"
"61","Y15T24","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"94.9","GBR","M","_Z","2009","PT_POP_AGE"
"62","Y25T44","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"89.4","GBR","M","_Z","2009","PT_POP_AGE"
"63","Y25T44","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"87.6","GBR","F","_Z","2009","PT_POP_AGE"
"64","Y15T24","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"93.8","GBR","_T","_Z","2009","PT_POP_AGE"
